iteration,time(nanoseconds)
1,3998400
2,3991400
3,3990100
4,2992700
5,3989100
6,3987100
7,3995800
8,3981900
9,3985000
10,3986200
11,3985100
12,3947400
13,3984800
14,2989300
15,3986900
16,2993900
17,2991700
18,3995000
19,3987900
20,3985600
21,3987800
22,2991600
23,3986600
24,3988200
25,3982100
26,3991300
27,3991300
28,3989900
29,3990800
30,3985400
31,2992800
32,3990100
33,2992200
34,2990400
35,2992600
36,2990100
37,3990800
38,3988900
39,2986400
40,3990300
41,2989400
42,2985900
43,2995200
44,2992800
45,3989900
46,3992400
47,2991700
48,3987400
49,2994600
50,2991600
51,2993900
52,3990100
53,2992000
54,2992500
55,2993300
56,3987600
57,3989100
58,3985500
59,3993000
60,3991700
61,2993400
62,2989000
63,2992400
64,3987900
65,2988300
66,2991100
67,2992500
68,1992300
69,2996100
70,2994300
71,2992800
72,2992000
73,2990300
74,2993100
75,2996400
76,1994800
77,2990100
78,2993300
79,2992000
80,2982200
81,2989700
82,2992500
83,4989500
84,3945500
85,3991400
86,2996400
87,3991900
88,2989100
89,2991100
90,2993500
91,2992200
92,2991500
93,2999100
94,2990000
95,3990200
96,2999800
97,2992900
98,2988700
99,2990400
100,2996500
101,1993800
102,1990700
103,3991400
104,2992700
105,2996900
106,1993200
107,2992000
108,2993200
109,2990000
110,1996900
111,2992000
112,2986500
113,2988500
114,2994400
115,2991600
116,3001300
117,1991100
118,1994600
119,2995800
120,3992500
121,1995700
122,2991400
123,2991400
124,2989200
125,2994500
126,1989700
127,2990800
128,2991500
129,2991000
130,1994500
131,1991000
132,2990600
133,1999400
134,2989500
135,2994800
136,2993100
137,1992200
138,1995900
139,1994600
140,2997900
141,2991700
142,2995300
143,3031300
144,2997400
145,2987100
146,2990000
147,1996500
148,2993100
149,2991600
150,2989300
151,3002900
152,2992300
153,2988900
154,1997500
155,1984200
156,2960700
157,2991200
158,2992200
159,2992200
160,2992100
161,3989200
162,2991200
163,3988300
164,2991800
165,2994300
166,2997200
167,1991800
168,2990300
169,2955000
170,2958100
171,1996400
172,2964900
173,2991500
174,2992600
175,2957200
176,2966600
177,2992400
178,2989400
179,2991200
180,2995000
181,2991500
182,2992400
183,2991400
184,2993500
185,2991100
186,2992800
187,2995800
188,2995400
189,2988400
190,2995600
191,1995800
192,2993000
193,2993500
194,1995700
195,2983300
196,2992000
197,2991300
198,1996300
199,1994700
200,1994800
201,1997200
202,2992200
203,1990800
204,2989800
205,2989900
206,2993500
207,2991200
208,2991200
209,2994700
210,2992400
211,2985600
212,3045900
213,2567900
214,2988200
215,2989100
216,1996000
217,1992800
218,1991700
219,2997700
220,2000300
221,1996800
222,2992300
223,2989100
224,1998100
225,1995200
226,2000400
227,2996200
228,1994800
229,1997000
230,2991400
231,2989200
232,2994400
233,2993100
234,1990900
235,1994700
236,1952700
237,1990100
238,1998000
239,2988000
240,1993100
241,1993500
242,1990800
243,2991700
244,1992100
245,1998600
246,2993400
247,2987600
248,2996400
249,2992400
250,2991200
251,1994800
252,1990700
253,2989900
254,2907100
255,1995400
256,2996100
257,1989600
258,1996900
259,1994500
260,2988100
261,1994800
262,2989100
263,1997100
264,2991200
265,1995600
266,1994600
267,1991700
268,2991000
269,1992800
270,2995300
271,1993600
272,1998000
273,1994800
274,1996600
275,1997900
276,1991900
277,2002400
278,1992200
279,2002300
280,2035100
281,1996900
282,2991300
283,2001400
284,2994600
285,2989900
286,1990200
287,1994700
288,2993500
289,2994200
290,1997300
291,1991400
292,1994900
293,1994500
294,2992400
295,1995000
296,1997900
297,1993700
298,2987500
299,2990900
300,1995100
301,1998500
302,1993900
303,2992200
304,1995800
305,1991700
306,1994700
307,1992500
308,1991500
309,1994900
310,1997200
311,1994900
312,1997000
313,2991000
314,2988200
315,1993900
316,1994900
317,1991500
318,1997400
319,2991000
320,1988300
321,1991800
322,1986100
323,1991800
324,1992600
325,2989200
326,1997300
327,1995000
328,1997000
329,1994800
330,2992400
331,1994000
332,1991900
333,1994900
334,1991900
335,1994800
336,1991500
337,1993700
338,2989500
339,1992400
340,1992700
341,1980900
342,1992600
343,1988500
344,1991600
345,1991600
346,2989100
347,1995300
348,2994700
349,1994700
350,1997000
351,2993700
352,1994900
353,1991500
354,2992300
355,1991900
356,1993400
357,1991500
358,1995000
359,1992800
360,1994800
361,2991100
362,1989900
363,3000800
364,1992600
365,1995000
366,1997000
367,1994700
368,1992300
369,1989600
370,1993100
371,2992200
372,1991800
373,1992500
374,1992800
375,1993700
376,1991700
377,1992600
378,2991100
379,1994800
380,1992800
381,1997000
382,1993600
383,1997500
384,1995000
385,1998100
386,1993900
387,1997300
388,1994800
389,1997800
390,1993800
391,1997700
392,1991400
393,1997200
394,997500
395,1996000
396,1992500
397,1992400
398,1992600
399,2000100
400,1992900
401,1994700
402,2035100
403,1992100
404,997600
405,1993900
406,1992100
407,1995000
408,1991800
409,1992600
410,1989600
411,2991300
412,1992800
413,1994000
414,1992800
415,1994800
416,1988500
417,1991500
418,1992700
419,1993800
420,2990300
421,1991300
422,1991700
423,1991500
424,1991500
425,1994900
426,1991800
427,1993700
428,1992400
429,1993900
430,1991400
431,1990400
432,1997000
433,1993700
434,1997000
435,1992600
436,1997500
437,1995100
438,1996900
439,995300
440,1997100
441,995400
442,1988300
443,1996300
444,1994700
445,1999300
446,1994700
447,1991100
448,1993800
449,1997200
450,1993900
451,1996900
452,1994000
453,1996900
454,997400
455,1986300
456,994300
457,1995000
458,996900
459,1994900
460,1997200
461,1997200
462,1997900
463,1994900
464,1991100
465,1991300
466,1993700
467,1991600
468,1995600
469,1989600
470,995300
471,994600
472,998500
473,2002800
474,1997300
475,1993800
476,1992200
477,1992500
478,1996000
479,1992600
480,999800
481,1996200
482,1992400
483,1996000
484,1988500
485,1993400
486,998400
487,1996100
488,1996000
489,1996000
490,1995000
491,998300
492,1997000
493,1993700
494,1994000
495,1996600
496,995400
497,1993100
498,1961600
499,1994900
500,997700
501,1996800
502,1996400
503,1995800
504,1992700
505,996500
506,999900
507,1997100
508,1995200
509,1997300
510,1992900
511,1996300
512,1993200
513,999000
514,996200
515,997300
516,1992900
517,1993500
518,2001700
519,1996100
520,1992000
521,1995300
522,1997100
523,1995000
524,1993200
525,2000300
526,1996600
527,999300
528,998600
529,996400
530,1993200
531,1996300
532,1992200
533,995200
534,1994900
535,1996800
536,1995100
537,1993300
538,1993100
539,1004300
540,999600
541,996700
542,995200
543,997400
544,996600
545,1000600
546,1001800
547,1000100
548,996900
549,996700
550,995000
551,997900
552,1996000
553,1992300
554,1988600
555,2038000
556,1041000
557,997400
558,990500
559,1992400
560,1994000
561,1998200
562,997500
563,996300
564,1991500
565,1995100
566,998200
567,998400
568,1953800
569,993000
570,995400
571,1990600
572,1997400
573,1997000
574,996300
575,995100
576,996600
577,1996100
578,1996900
579,1993800
580,1995800
581,1998000
582,1995100
583,1987800
584,1992400
585,1988500
586,1989000
587,1993800
588,1994400
589,1997000
590,1995900
591,1994200
592,998000
593,1008600
594,996100
595,993900
596,1000700
597,999200
598,1992700
599,1994400
600,996400
601,1003100
602,1994100
603,999400
604,997600
605,1993700
606,1992700
607,998600
608,1994800
609,998800
610,997400
611,1000000
612,1003900
613,1991500
614,999300
615,989900
616,997200
617,2001300
618,1062400
619,997300
620,996400
621,1994600
622,998100
623,1994600
624,997400
625,998700
626,1000900
627,1992600
628,1993700
629,998200
630,997400
631,996200
632,995200
633,999800
634,1990400
635,997500
636,988800
637,1989500
638,1035200
639,997400
640,1993700
641,997400
642,2000500
643,997000
644,996200
645,995000
646,997500
647,996300
648,994600
649,1000900
650,997400
651,997200
652,997000
653,994900
654,998100
655,999700
656,998500
657,994800
658,1994200
659,1000100
660,999500
661,994000
662,996700
663,1994300
664,997500
665,1006200
666,1000000
667,996000
668,1000400
669,997200
670,989700
671,1000100
672,1004100
673,1000100
674,999300
675,998000
676,1000200
677,1000100
678,1992500
679,994500
680,997300
681,1001000
682,995200
683,994800
684,997400
685,994600
686,995000
687,1000100
688,1000200
689,1000100
690,996900
691,997500
692,1000400
693,1992600
694,999800
695,999500
696,997800
697,995500
698,996700
699,1000000
700,997200
701,1004700
702,1002500
703,1994200
704,994500
705,996500
706,994400
707,994600
708,1994400
709,1000400
710,1002100
711,995300
712,1000300
713,989900
714,999500
715,1001600
716,1997700
717,994700
718,994600
719,1000200
720,997400
721,990600
722,995000
723,994500
724,998400
725,1995300
726,996500
727,999900
728,1000300
729,982900
730,997500
731,999700
732,999200
733,999700
734,995900
735,1000300
736,992900
737,999400
738,996900
739,0
740,998200
741,995000
742,995400
743,1005200
744,996700
745,994700
746,0
747,997700
748,999800
749,1000100
750,0
751,998100
752,1000400
753,982400
754,996900
755,993200
756,998800
757,996600
758,994600
759,995200
760,1005500
761,997400
762,993700
763,0
764,997700
765,999400
766,998700
767,989600
768,997400
769,995200
770,996900
771,994400
772,963100
773,1020800
774,995700
775,994600
776,999700
777,997700
778,999400
779,1000000
780,999300
781,997300
782,1004300
783,993200
784,994800
785,995100
786,989700
787,999200
788,999400
789,994800
790,997300
791,999200
792,997200
793,994300
794,995500
795,0
796,1014200
797,0
798,994800
799,0
800,992400
801,1000000
802,1007500
803,995500
804,999900
805,0
806,998700
807,996300
808,998500
809,994600
810,0
811,996000
812,995000
813,0
814,1000100
815,995600
816,0
817,0
818,994700
819,1003600
820,0
821,995500
822,994700
