iteration,time(nanoseconds)
1,0
2,0
3,0
4,996000
5,996600
6,0
7,0
8,995600
9,0
10,0
11,1000700
12,993800
13,0
14,0
15,0
16,993000
17,0
18,0
19,0
20,1005700
21,0
22,0
23,0
24,0
25,995800
26,996300
27,1000300
28,0
29,0
30,0
31,1000500
32,993700
33,991800
34,998500
35,999400
36,0
37,997700
38,996800
39,996900
40,0
41,0
42,0
43,0
44,997600
45,997300
46,997100
47,997700
48,0
49,999100
50,995300
51,1007800
52,985200
53,997900
54,998000
55,996400
56,0
57,1020300
58,1004800
59,991900
60,1027300
61,999900
62,0
63,964600
64,0
65,996700
66,997300
67,997500
68,0
69,0
70,994500
71,997400
72,0
73,0
74,994500
75,998000
76,0
77,0
78,1000200
79,993700
80,0
81,0
82,999400
83,994800
84,0
85,0
86,0
87,997100
88,996200
89,999000
90,995600
91,0
92,994900
93,999100
94,998300
95,993500
96,0
97,996900
98,1000700
99,0
100,995300
101,996400
102,1000100
103,0
104,1000300
105,994400
106,0
107,0
108,999600
109,994700
110,0
111,993900
112,1000700
113,0
114,999700
115,995400
116,0
117,993100
118,1001100
119,994100
120,1000800
121,994300
122,987900
123,996700
124,0
125,1029700
126,998600
127,0
128,1016100
129,994900
130,0
131,1002400
132,995800
133,997400
134,1000400
135,999900
136,995900
137,996700
138,0
139,996800
140,1000100
141,999400
142,0
143,999500
144,995100
145,0
146,994000
147,1002200
148,0
149,999800
150,0
151,999600
152,0
153,0
154,992200
155,998700
156,0
157,1094500
158,0
159,995500
160,996800
161,0
162,0
163,998500
164,996400
165,994300
166,996400
167,995300
168,0
169,996600
170,998100
171,0
172,999800
173,997200
174,1000900
175,993700
176,0
177,997300
178,0
179,997300
180,1000900
181,999700
182,995200
183,999400
184,994600
185,1001000
186,994400
187,0
188,0
189,1000200
190,997400
191,1001600
192,0
193,995400
194,996500
195,0
196,0
197,1000300
198,998200
199,0
200,999700
201,0
202,1000600
203,0
204,998700
205,993500
206,995100
207,1000700
208,993900
209,999600
210,992500
211,0
212,1006100
213,992100
214,1000100
215,997800
216,0
217,997300
218,993700
219,999500
220,0
221,999700
222,995700
223,1000100
224,999600
225,0
226,998700
227,995000
228,0
229,994300
230,999600
231,997100
