iteration,time(nanoseconds)
1,3991700
2,3991900
3,3988000
4,2997700
5,3987900
6,2990300
7,3991900
8,5026700
9,3984400
10,3988600
11,3987600
12,3981200
13,3989500
14,2993500
15,3991400
16,3990500
17,2992500
18,3977200
19,2996500
20,3988900
21,3990200
22,3988300
23,3986800
24,3979900
25,3981500
26,3992600
27,3992700
28,3989000
29,3981400
30,3991100
31,2994200
32,3991200
33,3985700
34,2988100
35,3986900
36,3987900
37,2992400
38,2994600
39,3990300
40,3985500
41,2990500
42,3988000
43,3988200
44,3003700
45,2992500
46,3988400
47,2993800
48,3990800
49,2991300
50,2987400
51,2989000
52,2993100
53,2991400
54,3992600
55,2991400
56,3988700
57,3947400
58,3989400
59,2984900
60,3991200
61,2987600
62,2987400
63,2989400
64,2991400
65,2995300
66,3986500
67,2991700
68,2991700
69,2987700
70,3990900
71,3989700
72,2986500
73,1994900
74,2996800
75,2991800
76,2987400
77,2995100
78,2996400
79,2987100
80,2996700
81,3986200
82,2994700
83,2986600
84,3988500
85,3986900
86,3989800
87,3982300
88,3987100
89,1994400
90,2992800
91,2990900
92,2991900
93,2994800
94,1987100
95,2989200
96,2992300
97,2994100
98,1997900
99,3988500
100,2991400
101,2991900
102,1997100
103,3987100
104,2989400
105,1996900
106,2997700
107,2986500
108,2995500
109,2997000
110,2987300
111,3989200
112,2992700
113,2991300
114,1998100
115,2995200
116,2992000
117,1994200
118,1995800
119,2992500
120,3990700
121,2990800
122,2991200
123,2989800
124,2987000
125,2986900
126,2989400
127,2997200
128,4021600
129,3989400
130,2997100
131,2989600
132,3000100
133,2992500
134,3016700
135,1999100
136,2987800
137,2989600
138,1997500
139,1991900
140,2989500
141,2991400
142,2992000
143,2981500
144,2994400
145,1997000
146,2997400
147,2994400
148,2996700
149,1991900
150,2989800
151,2992900
152,1989200
153,2993300
154,2992200
155,2991000
156,2992000
157,2995300
158,2991900
159,2991500
160,2991500
161,2959600
162,2960700
163,2990600
164,4029600
165,2991600
166,2983200
167,2993400
168,2995400
169,1993800
170,1994000
171,2991600
172,3692400
173,2991900
174,2963300
175,2990100
176,1994600
177,2992800
178,1993300
179,2991400
180,2994300
181,2993600
182,2999100
183,2993700
184,2993700
185,1996100
186,1998700
187,1999400
188,2991500
189,2986900
190,1990200
191,2987600
192,2992600
193,3002100
194,1997100
195,1997300
196,1993600
197,1995100
198,2992100
199,2987900
200,2991100
201,1995000
202,1997200
203,1993800
204,1995200
205,2991600
206,2991400
207,2991400
208,1994200
209,1994100
210,1997300
211,2002700
212,2992800
213,2991000
214,2992700
215,2995200
216,2992900
217,2991400
218,1997500
219,1994900
220,2992700
221,2986700
222,2991500
223,2992800
224,1995800
225,1992700
226,3035000
227,2996000
228,1993700
229,2993100
230,2994800
231,1991500
232,1993600
233,1956600
234,1992500
235,2992700
236,1995200
237,1994700
238,2992700
239,2992800
240,1990200
241,1994100
242,1995200
243,2993600
244,1993600
245,1995500
246,2992500
247,2991300
248,2992400
249,2992500
250,2989200
251,1999200
252,1993800
253,2992500
254,2032900
255,2989100
256,1996000
257,1994900
258,2993300
259,1994000
260,2989300
261,1996600
262,2991700
263,1994900
264,1996100
265,1989900
266,2990300
267,1993400
268,1989400
269,1995200
270,2995500
271,1994600
272,1997300
273,1995200
274,1994600
275,1995200
276,1993200
